DATE,A794RC0Q052SBEA
1947-01-01,1091.0
1947-04-01,1113.0
1947-07-01,1132.0
1947-10-01,1155.0
1948-01-01,1169.0
1948-04-01,1190.0
1948-07-01,1205.0
1948-10-01,1205.0
1949-01-01,1193
1949-04-01,1199
1949-07-01,1189.0
1949-10-01,1200.0
1950-01-01,1213.0
1950-04-01,1235
1950-07-01,1319.0
1950-10-01,1297
1951-01-01,1365
1951-04-01,1332
1951-07-01,1343
1951-10-01,1362.0
1952-01-01,1365.0
1952-04-01,1386.0
1952-07-01,1396.0
1952-10-01,1441.0
1953-01-01,1458.0
1953-04-01,1464.0
1953-07-01,1461.0
1953-10-01,1451.0
1954-01-01,1458.0
1954-04-01,1469.0
1954-07-01,1477.0
1954-10-01,1499.0
1955-01-01,1531.0
1955-04-01,1556.0
1955-07-01,1574.0
1955-10-01,1590.0
1956-01-01,1593.0
1956-04-01,1602.0
1956-07-01,1614.0
1956-10-01,1638.0
1957-01-01,1656.0
1957-04-01,1663.0
1957-07-01,1682.0
1957-10-01,1684.0
1958-01-01,1675.0
1958-04-01,1685.0
1958-07-01,1707.0
1958-10-01,1722.0
1959-01-01,1758.0
1959-04-01,1785.0
1959-07-01,1807.0
1959-10-01,1811.0
1960-01-01,1820.0
1960-04-01,1842.0
1960-07-01,1832.0
1960-10-01,1835.0
1961-01-01,1832.0
1961-04-01,1852.0
1961-07-01,1859.0
1961-10-01,1891.0
1962-01-01,1912.0
1962-04-01,1936.0
1962-07-01,1949.0
1962-10-01,1975.0
1963-01-01,1988.0
1963-04-01,2003.0
1963-07-01,2032.0
1963-10-01,2049.0
1964-01-01,2093.0
1964-04-01,2127.0
1964-07-01,2166.0
1964-10-01,2172.0
1965-01-01,2221.0
1965-04-01,2251.0
1965-07-01,2290.0
1965-10-01,2354.0
1966-01-01,2402.0
1966-04-01,2421.0
1966-07-01,2460.0
1966-10-01,2482.0
1967-01-01,2497.0
1967-04-01,2537.0
1967-07-01,2566.0
1967-10-01,2597.0
1968-01-01,2682.0
1968-04-01,2744.0
1968-07-01,2817.0
1968-10-01,2853.0
1969-01-01,2907.0
1969-04-01,2956.0
1969-07-01,2998.0
1969-10-01,3048.0
1970-01-01,3095.0
1970-04-01,3134.0
1970-07-01,3181.0
1970-10-01,3203.0
1971-01-01,3285.0
1971-04-01,3343.0
1971-07-01,3392.0
1971-10-01,3459.0
1972-01-01,3533.0
1972-04-01,3613.0
1972-07-01,3691.0
1972-10-01,3799.0
1973-01-01,3906.0
1973-04-01,3971.0
1973-07-01,4048.0
1973-10-01,4108.0
1974-01-01,4184.0
1974-04-01,4309.0
1974-07-01,4433.0
1974-10-01,4467.0
1975-01-01,4579.0
1975-04-01,4700.0
1975-07-01,4842.0
1975-10-01,4963.0
1976-01-01,5107.0
1976-04-01,5187.0
1976-07-01,5307.0
1976-10-01,5447.0
1977-01-01,5597.0
1977-04-01,5710.0
1977-07-01,5834.0
1977-10-01,5989.0
1978-01-01,6107.0
1978-04-01,6350.0
1978-07-01,6469.0
1978-10-01,6626.0
1979-01-01,6768.0
1979-04-01,6931.0
1979-07-01,7151.0
1979-10-01,7319.0
1980-01-01,7507.0
1980-04-01,7497.0
1980-07-01,7733.0
1980-10-01,8010.0
1981-01-01,8229.0
1981-04-01,8349.0
1981-07-01,8502.0
1981-10-01,8551.0
1982-01-01,8704.0
1982-04-01,8795.0
1982-07-01,8971.0
1982-10-01,9205.0
1983-01-01,9354.0
1983-04-01,9612.0
1983-07-01,9889.0
1983-10-01,10089.0
1984-01-01,10264.0
1984-04-01,10487.0
1984-07-01,10621.0
1984-10-01,10799.0
1985-01-01,11091.0
1985-04-01,11260.0
1985-07-01,11534.0
1985-10-01,11610.0
1986-01-01,11772.0
1986-04-01,11863.0
1986-07-01,12106.0
1986-10-01,12225.0
1987-01-01,12328.0
1987-04-01,12590.0
1987-07-01,12822.0
1987-10-01,12928.0
1988-01-01,13234.0
1988-04-01,13451.0
1988-07-01,13702.0
1988-10-01,13963.0
1989-01-01,14161.0
1989-04-01,14387.0
1989-07-01,14572.0
1989-10-01,14710.0
1990-01-01,15016.0
1990-04-01,15151.0
1990-07-01,15350.0
1990-10-01,15380.0
1991-01-01,15356.0
1991-04-01,15518.0
1991-07-01,15645.0
1991-10-01,15697.0
1992-01-01,16043.0
1992-04-01,16205.0
1992-07-01,16423.0
1992-10-01,16677.0
1993-01-01,16791.0
1993-04-01,17006.0
1993-07-01,17211.0
1993-10-01,17407.0
1994-01-01,17621.0
1994-04-01,17805.0
1994-07-01,18012.0
1994-10-01,18236.0
1995-01-01,18322.0
1995-04-01,18538.0
1995-07-01,18722.0
1995-10-01,18877.0
1996-01-01,19109.0
1996-04-01,19389.0
1996-07-01,19526.0
1996-10-01,19753.0
1997-01-01,19996.0
1997-04-01,20079.0
1997-07-01,20407.0
1997-10-01,20652.0
1998-01-01,20809.0
1998-04-01,21155.0
1998-07-01,21430.0
1998-10-01,21731.0
1999-01-01,21942.0
1999-04-01,22343.0
1999-07-01,22646.0
1999-10-01,23048.0
2000-01-01,23527.0
2000-04-01,23801.0
2000-07-01,24119.0
2000-10-01,24403.0
2001-01-01,24617.0
2001-04-01,24724.0
2001-07-01,24758.0
2001-10-01,25103.0
2002-01-01,25155.0
2002-04-01,25412.0
2002-07-01,25658.0
2002-10-01,25857.0
2003-01-01,26129.0
2003-04-01,26396.0
2003-07-01,26878.0
2003-10-01,27132.0
2004-01-01,27542.0
2004-04-01,27818.0
2004-07-01,28213.0
2004-10-01,28704.0
2005-01-01,28993.0
2005-04-01,29437.0
2005-07-01,29925.0
2005-10-01,30144.0
2006-01-01,30564.0
2006-04-01,30923.0
2006-07-01,31265.0
2006-10-01,31430.0
2007-01-01,31842.0
2007-04-01,32125.0
2007-07-01,32438.0
2007-10-01,32814.0
2008-01-01,32964.0
2008-04-01,33304.0
2008-07-01,33319.0
2008-10-01,32416.0
2009-01-01,32050.0
2009-04-01,31954.0
2009-07-01,32316.0
2009-10-01,32454.0
2010-01-01,32702.0
2010-04-01,32987.0
2010-07-01,33222.0
2010-10-01,33573.0
2011-01-01,33930.0
2011-04-01,34243.0
2011-07-01,34439.0
2011-10-01,34547.0
2012-01-01,34971.0
2012-04-01,35060.0
2012-07-01,35166.0
2012-10-01,35437.0
2013-01-01,35703.0
2013-04-01,35729.0
2013-07-01,35939.0
2013-10-01,36308.0
2014-01-01,36563.0
2014-04-01,37025.0
2014-07-01,37421.0
2014-10-01,37720.0
2015-01-01,37755.0
2015-04-01,38133.0
2015-07-01,38442.0
2015-10-01,38522.0
2016-01-01,38762.0
2016-04-01,39141.0
2016-07-01,39444.0
2016-10-01,39752.0
2017-01-01,40205.0
2017-04-01,40451.0
2017-07-01,40765.0
2017-10-01,41408.0
2018-01-01,41883.0
2018-04-01,42438.0
2018-07-01,42800.0
2018-10-01,43099.0
2019-01-01,43167.0
2019-04-01,43792.0
2019-07-01,44199.0
2019-10-01,44516.0
2020-01-01,43817.0
2020-04-01,39375.0
2020-07-01,43266.0
2020-10-01,43733.0
2021-01-01,45332.0
2021-04-01,47329.0
